Date, Open, High, Low, Close
01/15/85, 170.81, 171.81, 170.44, 170.81
01/14/85, 170.51, 170.51, 167.64, 170.51
01/11/85, 167.91, 168.66, 167.66, 167.91
01/10/85, 168.31, 168.31, 165.06, 168.31
01/09/85, 165.18, 165.56, 164.06, 165.18
01/08/85, 163.99, 164.49, 163.99, 163.99
01/07/85, 164.24, 164.62, 163.74, 164.24
01/04/85, 163.68, 164.56, 163.43, 163.68
01/03/85, 164.57, 166.07, 164.44, 164.57
01/02/85, 165.37, 167.12, 165.25, 165.37
12/31/84, 167.24, 169.24, 166.12, 167.24
12/28/84, 166.26, 166.26, 165.76, 166.26
12/27/84, 165.75, 166.50, 165.63, 165.75
12/26/84, 166.47, 166.72, 166.34, 166.47
12/24/84, 166.76, 166.89, 165.51, 166.76
12/21/84, 165.51, 166.26, 164.64, 165.51
12/20/84, 166.38, 167.50, 166.38, 166.38
12/19/84, 167.16, 168.91, 166.91, 167.16
12/18/84, 168.11, 168.11, 163.24, 168.11
12/17/84, 163.61, 163.18, 162.56, 163.61
12/14/84, 162.69, 163.19, 161.44, 162.69
12/13/84, 161.81, 162.81, 161.56, 161.81
12/12/84, 162.63, 163.13, 162.63, 162.63
12/11/84, 163.07, 163.07, 162.57, 163.07
12/10/84, 162.83, 163.21, 161.58, 162.83
12/07/84, 162.26, 163.26, 162.26, 162.26
12/06/84, 162.76, 163.01, 161.76, 162.76
12/05/84, 162.10, 163.35, 161.97, 162.10
12/04/84, 163.38, 163.88, 162.88, 163.38
12/03/84, 162.82, 163.57, 162.32, 162.82
11/30/84, 163.58, 163.83, 163.08, 163.58
11/29/84, 163.91, 164.91, 163.78, 163.91
11/28/84, 165.02, 166.90, 165.02, 165.02
11/27/84, 166.29, 166.79, 165.17, 166.29
11/26/84, 165.55, 166.80, 165.43, 165.55
11/23/84, 166.92, 166.92, 164.55, 166.92
11/21/84, 164.52, 164.65, 163.40, 164.52
11/20/84, 164.18, 164.43, 163.18, 164.18
11/19/84, 163.10, 164.22, 163.10, 163.10
11/16/84, 164.10, 166.22, 164.10, 164.10
11/15/84, 165.89, 166.39, 165.64, 165.89
11/14/84, 165.99, 166.37, 165.49, 165.99
11/13/84, 165.97, 167.34, 165.84, 165.97
11/12/84, 167.36, 167.61, 166.74, 167.36
11/09/84, 167.60, 169.35, 167.47, 167.60
11/08/84, 168.68, 169.18, 168.31, 168.68
11/07/84, 169.17, 170.30, 168.55, 169.17
11/06/84, 170.41, 170.41, 168.66, 170.41
11/05/84, 168.58, 168.58, 167.33, 168.58
