Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,CHG_PCT_1D,VOLATILITY_30D
7/4/1928,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22.4
7/5/1928,19.48,19.48,19.48,19.48,0.98,22.64
7/6/1928,19.39,19.39,19.39,19.39,-0.46,22.1
7/9/1928,19.46,19.46,19.46,19.46,0.36,21.74
7/10/1928,19.43,19.43,19.43,19.43,-0.15,21.51
7/11/1928,18.95,18.95,18.95,18.95,-2.47,22.33
7/12/1928,18.81,18.81,18.81,18.81,-0.74,22.33
7/13/1928,18.96,18.96,18.96,18.96,0.8,22.25
7/16/1928,18.7,18.7,18.7,18.7,-1.37,22.51
7/17/1928,18.8,18.8,18.8,18.8,0.53,22.49
7/18/1928,19.03,19.03,19.03,19.03,1.22,22.88
7/19/1928,18.99,18.99,18.99,18.99,-0.21,22.6
7/20/1928,19.03,19.03,19.03,19.03,0.21,19.62
7/23/1928,19.12,19.12,19.12,19.12,0.47,18.7
7/24/1928,19.09,19.09,19.09,19.09,-0.16,16.48
7/25/1928,19.2,19.2,19.2,19.2,0.58,16.37
7/26/1928,19.24,19.24,19.24,19.24,0.21,15.5
7/27/1928,19.42,19.42,19.42,19.42,0.94,14.45
7/30/1928,19.47,19.47,19.47,19.47,0.26,14.36
7/31/1928,19.43,19.43,19.43,19.43,-0.21,14.03
8/1/1928,19.42,19.42,19.42,19.42,-0.05,14.03
8/2/1928,19.33,19.33,19.33,19.33,-0.46,14.14
8/3/1928,19.36,19.36,19.36,19.36,0.16,14.04
8/6/1928,19.58,19.58,19.58,19.58,1.14,14.04
8/7/1928,19.49,19.49,19.49,19.49,-0.46,13.93
8/8/1928,19.25,19.25,19.25,19.25,-1.23,14.16
8/9/1928,19.3,19.3,19.3,19.3,0.26,14.14
8/10/1928,19.25,19.25,19.25,19.25,-0.26,13.9
8/13/1928,19.29,19.29,19.29,19.29,0.21,13.01
8/14/1928,19.13,19.13,19.13,19.13,-0.83,12.86
8/15/1928,19.47,19.47,19.47,19.47,1.78,13.76
8/16/1928,19.61,19.61,19.61,19.61,0.72,13.85
8/17/1928,19.64,19.64,19.64,19.64,0.15,13.82
8/20/1928,19.77,19.77,19.77,19.77,0.66,13.93
8/21/1928,20.02,20.02,20.02,20.02,1.26,11.91
8/22/1928,20,20,20,20,-0.1,11.6
8/23/1928,20.02,20.02,20.02,20.02,0.1,11.46
8/24/1928,20.34,20.34,20.34,20.34,1.6,11.13
8/27/1928,20.38,20.38,20.38,20.38,0.2,11.11
8/28/1928,20.54,20.54,20.54,20.54,0.79,10.84
8/29/1928,20.58,20.58,20.58,20.58,0.19,10.74
8/30/1928,20.61,20.61,20.61,20.61,0.15,10.75
8/31/1928,20.87,20.87,20.87,20.87,1.26,11.13
